"gene1"	"gene2"	"cor.list"	"p.list"	"adjp.list"	"lower"	"higher"
"145"	"GCY1"	"YOR121C"	0.905263157894737	2.39942787860770e-08	0.000225982721440561	0.822022772833066	0.988503542956408
"1148"	"YJL107C"	"YJL108C"	0.790453709148378	1.2865365606185e-06	0.00370327517465515	0.643014364393489	0.92540668823809
"1069"	"YLL023C"	"HCR1"	0.789473684210526	1.13510010613105e-06	0.00370327517465515	0.650455814526384	0.928491553894668
"997"	"YPS3"	"YLL023C"	0.778947368421053	1.57281789325836e-06	0.00370327517465515	0.645008567920186	0.912886168921919
"205"	"YOR121C"	"YEL057C"	0.757894736842105	2.98314474722616e-06	0.00384588578782117	0.629844099758688	0.885945373925522
"1068"	"YLL023C"	"YMR316W"	0.757894736842105	2.98314474722616e-06	0.00384588578782117	0.604197962203156	0.911591511481055
"160"	"GCY1"	"YEL057C"	0.747368421052632	4.08346510671898e-06	0.00384588578782117	0.621970769279129	0.872766072826134
"830"	"YPL066W"	"MLF3"	0.747368421052632	4.08346510671898e-06	0.00384588578782117	0.60830930589371	0.886427536211553
"973"	"YPS1"	"YPS3"	0.747368421052632	4.08346510671898e-06	0.00384588578782117	0.604646015444291	0.890090826660972
"990"	"YPS1"	"YMR316W"	0.747368421052632	4.08346510671898e-06	0.00384588578782117	0.628304573728877	0.866432268376386
"154"	"GCY1"	"PCL10"	0.726315789473684	7.5589016310662e-06	0.00593259882532579	0.549982042829991	0.902649536117378
"1011"	"YPS3"	"YMR316W"	0.726315789473684	7.5589016310662e-06	0.00593259882532579	0.597311431208127	0.855320147739241
"954"	"BAG7"	"YLL023C"	0.71578947368421	1.02220316828827e-05	0.00687664683659592	0.557860117578734	0.873718829789687
"976"	"YPS1"	"YLL023C"	0.71578947368421	1.02220316828827e-05	0.00687664683659592	0.551453912628213	0.880125034740208
"308"	"YKR012C"	"YIL117C"	0.709004633263283	1.34828856748204e-05	0.00810415863684623	0.529728006194543	0.88079830959493
"2"	"GAL7"	"GAL1"	0.705263157894737	1.37676679292653e-05	0.00810415863684623	0.574361250368899	0.836165065420575
"58"	"GAL10"	"SSU1"	0.694736842105263	1.84684272102054e-05	0.0081376549308034	0.53592033716046	0.853553347050067
"350"	"PRY2"	"YIL117C"	0.694736842105263	1.84684272102054e-05	0.0081376549308034	0.551288007148127	0.8381856770624
"1031"	"YMR102C"	"YMR316W"	0.694736842105263	1.84684272102054e-05	0.0081376549308034	0.544264042708632	0.845209641501895
"1216"	"YMR316W"	"HCR1"	0.694736842105263	1.84684272102054e-05	0.0081376549308034	0.507576392211452	0.881897291999074
"828"	"YPL066W"	"SVS1"	0.69129528232359	2.11453928826710e-05	0.0081376549308034	0.514413910096717	0.864533458324336
"837"	"YPL066W"	"SLT2"	0.687840315852438	2.41925299933055e-05	0.0081376549308034	0.509215257529638	0.859205795101941
"1161"	"YJL108C"	"YGL179C"	0.684352540135173	2.76611530465320e-05	0.0081376549308034	0.535285063173401	0.822609673668705
"70"	"GAL10"	"YGL184C"	0.68421052631579	2.46744572944824e-05	0.0081376549308034	0.547270768654739	0.82115028397684
"527"	"MCM1"	"MET14"	0.68421052631579	2.46744572944824e-05	0.0081376549308034	0.51369667712235	0.85472437550923
"819"	"MET16"	"MES1"	0.68421052631579	2.46744572944824e-05	0.0081376549308034	0.55908756852339	0.809333484108189
"951"	"BAG7"	"YPS3"	0.68421052631579	2.46744572944824e-05	0.0081376549308034	0.55908756852339	0.809333484108189
"1163"	"YJL108C"	"KTR2"	0.677258157147016	3.22106050807403e-05	0.0081376549308034	0.502779837432855	0.844588583619776
"1175"	"SLT2"	"YPL088W"	0.677258157147016	3.22106050807403e-05	0.0081376549308034	0.505060015711095	0.842308405341537
"51"	"GAL10"	"GCY1"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.508930425638777	0.838437995413855
"199"	"YOR121C"	"PCL10"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.491099175657992	0.85626924539464
"357"	"PRY2"	"KTR2"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.492518068046706	0.854850353005925
"446"	"SSU1"	"YJL212C"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.481459962845799	0.865908458206832
"515"	"YJL212C"	"KTR2"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.545992353623266	0.801376067429366
"895"	"YDL241W"	"YPL088W"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.530735966274253	0.816632454778378
"929"	"EPT1"	"YMR102C"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.5439871246058	0.803381296446832
"1012"	"YPS3"	"HCR1"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.507371452712327	0.839996968340304
"1065"	"YLL023C"	"KTR2"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.505826958110404	0.841541462942228
"975"	"YPS1"	"SVS1"	0.670187029428213	3.74628916004482e-05	0.00900282193187057	0.524032082089658	0.8128100231735
"889"	"YDL241W"	"YJL108C"	0.666675998441594	4.27134456408851e-05	0.00900282193187057	0.468860218662906	0.857455570810778
"52"	"GAL10"	"YOR121C"	0.663157894736842	4.35146009207799e-05	0.00900282193187057	0.503087041143817	0.823228748329867
"565"	"PCL10"	"YEL057C"	0.663157894736842	4.35146009207799e-05	0.00900282193187057	0.496763263580369	0.829552525893315
"925"	"YJL060W"	"MES1"	0.663157894736842	4.35146009207799e-05	0.00900282193187057	0.537394917639333	0.788920871834351
"950"	"BAG7"	"YPS1"	0.663157894736842	4.35146009207799e-05	0.00900282193187057	0.511361783833514	0.81495400564017
"1212"	"YPL088W"	"HCR1"	0.663157894736842	4.35146009207799e-05	0.00900282193187057	0.484787035308804	0.84152875416488
"728"	"MET14"	"SER33"	0.659632902980525	4.95643741171836e-05	0.00900282193187057	0.495107359654922	0.820682114029288
"1049"	"SVS1"	"YPL088W"	0.659632902980525	4.95643741171836e-05	0.00900282193187057	0.491191288726015	0.824598184958196
"1052"	"SVS1"	"SER3"	0.659632902980525	4.95643741171836e-05	0.00900282193187057	0.523791463756684	0.791998009927527
"280"	"YKR012C"	"PRY2"	0.656093839736172	5.6413162836666e-05	0.00900282193187057	0.500246314140888	0.805016843753849
"1"	"GAL7"	"GAL10"	0.652631578947369	5.74392306111893e-05	0.00900282193187057	0.504540527604523	0.800722630290214
"50"	"GAL10"	"GAL1"	0.652631578947369	5.74392306111893e-05	0.00900282193187057	0.483396332654371	0.821866825240366
"67"	"GAL10"	"YEL057C"	0.652631578947369	5.74392306111893e-05	0.00900282193187057	0.486474060206862	0.818789097687875
"106"	"GAL1"	"YJL212C"	0.652631578947369	5.74392306111893e-05	0.00900282193187057	0.441348816582523	0.863914341312214
"459"	"SSU1"	"YJL060W"	0.652631578947369	5.74392306111893e-05	0.00900282193187057	0.491200634877691	0.814062523017046
"974"	"YPS1"	"YMR102C"	0.652631578947369	5.74392306111893e-05	0.00900282193187057	0.484928135897064	0.820335021997673
"991"	"YPS1"	"HCR1"	0.652631578947369	5.74392306111893e-05	0.00900282193187057	0.481878270444206	0.823384887450531
"1055"	"YLL023C"	"MLF3"	0.652631578947369	5.74392306111893e-05	0.00900282193187057	0.455240991212423	0.850022166682314
"1086"	"MLF3"	"HCR1"	0.652631578947369	5.74392306111893e-05	0.00900282193187057	0.46877890326083	0.836484254633906
"597"	"CPA2"	"ARG7"	0.652540554559469	6.37800409264422e-05	0.00900282193187057	0.465851452069768	0.828885390035495
"1044"	"SVS1"	"SLT2"	0.652522189431211	6.4166358501927e-05	0.00900282193187057	0.463731290563961	0.831005551541302
"237"	"CRH1"	"PRY2"	0.649078776532836	6.53117029201233e-05	0.00900282193187057	0.459219549227371	0.835517292877893
"380"	"EXG1"	"YJL060W"	0.649078776532836	6.53117029201233e-05	0.00900282193187057	0.499982133085902	0.79475470901936
"405"	"EXG1"	"MES1"	0.649078776532836	6.53117029201233e-05	0.00900282193187057	0.502632343258516	0.792104498846748
"888"	"YDL241W"	"YJL107C"	0.649078776532836	6.53117029201233e-05	0.00900282193187057	0.470532316838248	0.824204525267015
"1162"	"YJL108C"	"ERO1"	0.64551168103075	7.4207614401356e-05	0.00900282193187057	0.464475403911196	0.819735122404594
"1176"	"SLT2"	"YMR316W"	0.64551168103075	7.4207614401356e-05	0.00900282193187057	0.465203298760832	0.819007227554958
"59"	"GAL10"	"YJL212C"	0.642105263157895	7.55158678305001e-05	0.00900282193187057	0.479651795584087	0.804558730731703
"63"	"GAL10"	"YDR010C"	0.642105263157895	7.55158678305001e-05	0.00900282193187057	0.443877556845498	0.840332969470292
"488"	"YJL212C"	"YDR010C"	0.642105263157895	7.55158678305001e-05	0.00900282193187057	0.49290024008107	0.79131028623472
"495"	"YJL212C"	"YGL184C"	0.642105263157895	7.55158678305001e-05	0.00900282193187057	0.49290024008107	0.79131028623472
"530"	"MCM1"	"MET16"	0.642105263157895	7.55158678305001e-05	0.00900282193187057	0.443877556845498	0.840332969470292
"559"	"MCM1"	"MES1"	0.642105263157895	7.55158678305001e-05	0.00900282193187057	0.47650521279376	0.807705313522029
"637"	"YDR010C"	"YGL184C"	0.642105263157895	7.55158678305001e-05	0.00900282193187057	0.479651795584087	0.804558730731703
"762"	"YEL057C"	"YPL066W"	0.642105263157895	7.55158678305001e-05	0.00900282193187057	0.403688753735169	0.88052177258062
"856"	"YGL184C"	"YLL023C"	0.642105263157895	7.55158678305001e-05	0.00900282193187057	0.478070959112433	0.806139567203357
"966"	"BAG7"	"CHS1"	0.642105263157895	7.55158678305001e-05	0.00900282193187057	0.499986848433916	0.784223677881873
"968"	"BAG7"	"YMR316W"	0.642105263157895	7.55158678305001e-05	0.00900282193187057	0.48779871682194	0.79641180949385
"988"	"YPS1"	"CHS1"	0.642105263157895	7.55158678305001e-05	0.00900282193187057	0.460169180351936	0.824041345963853
"1009"	"YPS3"	"CHS1"	0.642105263157895	7.55158678305001e-05	0.00900282193187057	0.441290744002223	0.842919782313566
"1046"	"SVS1"	"ERO1"	0.638524650085148	8.57171126220635e-05	0.00996666930122528	0.450016128288842	0.823668082237473
"1223"	"SER3"	"SER33"	0.638524650085148	8.57171126220635e-05	0.00996666930122528	0.479236483465031	0.794447727061284
"653"	"YDR010C"	"YJL108C"	0.634929522325328	9.7223399216917e-05	0.0103478701462815	0.482484466126763	0.780673428610079
"1061"	"YLL023C"	"YJL108C"	0.634929522325328	9.7223399216917e-05	0.0103478701462815	0.420201208159801	0.842956686577041
"1172"	"SLT2"	"ERO1"	0.634929522325328	9.7223399216917e-05	0.0103478701462815	0.37954905531055	0.883608839426292
"112"	"GAL1"	"MET14"	0.631578947368421	9.88839817461784e-05	0.0103478701462815	0.494194960722568	0.768962934014274
"457"	"SSU1"	"YGL184C"	0.631578947368421	9.88839817461784e-05	0.0103478701462815	0.474889058310829	0.788268836426013
"505"	"YJL212C"	"MLF3"	0.631578947368421	9.88839817461784e-05	0.0103478701462815	0.499950726777495	0.763207167959347
"634"	"YDR010C"	"YEL057C"	0.631578947368421	9.88839817461784e-05	0.0103478701462815	0.44483260370575	0.818325291031092
"839"	"YPL066W"	"ERO1"	0.631578947368421	9.88839817461784e-05	0.0103478701462815	0.45771381895259	0.805444075784252
"969"	"BAG7"	"HCR1"	0.631578947368421	9.88839817461784e-05	0.0103478701462815	0.43149038037714	0.831667514359702
"273"	"CRH1"	"CHS1"	0.62797052363746	0.000112047293826079	0.0114704664348534	0.425081382402993	0.827550196544375
"1114"	"YOR306C"	"CHS1"	0.62797052363746	0.000112047293826079	0.0114704664348534	0.464137237489579	0.788494341457789
"984"	"YPS1"	"SLT2"	0.624347363619906	0.000126867285979992	0.0126523239785785	0.460731191681301	0.781374071476593
"1025"	"YMR102C"	"SLT2"	0.624347363619906	0.000126867285979992	0.0126523239785785	0.457543574812345	0.78456168834555
"497"	"YJL212C"	"YJL060W"	0.621052631578948	0.000128965635701084	0.0126523239785785	0.385175241495683	0.856930021662211
"1085"	"MLF3"	"YMR316W"	0.621052631578948	0.000128965635701084	0.0126523239785785	0.363221790778408	0.878883472379486
"1150"	"YJL107C"	"YGL179C"	0.619047619047619	0.000144711972938527	0.0134698304775433	0.452615046271711	0.77896390109671
"376"	"EXG1"	"MET16"	0.617416397189771	0.000145879668556725	0.0134698304775433	0.453407726332685	0.778171221035736
"738"	"YPR157W"	"YPS1"	0.617416397189771	0.000145879668556725	0.0134698304775433	0.465799795552684	0.765779151815737
"960"	"BAG7"	"YJL107C"	0.617416397189771	0.000145879668556725	0.0134698304775433	0.439684545118149	0.791894402250273
"1037"	"SVS1"	"MLF3"	0.617416397189771	0.000145879668556725	0.0134698304775433	0.447170592829682	0.78440835453874
"1099"	"SRL3"	"CHS1"	0.617416397189771	0.000145879668556725	0.0134698304775433	0.44870804681782	0.782870900550601
