"gene1"	"gene2"	"cor.list"	"p.list"	"adjp.list"	"lower"	"higher"
"145"	"GCY1"	"YOR121C"	0.905263157894737	2.39942787860770e-08	0.000225982721440561	0.822022772833066	0.988503542956408
"1148"	"YJL107C"	"YJL108C"	0.790453709148378	1.2865365606185e-06	0.00370327517465515	0.643014364393489	0.92540668823809
"1069"	"YLL023C"	"HCR1"	0.789473684210526	1.13510010613105e-06	0.00370327517465515	0.650455814526384	0.928491553894668
"997"	"YPS3"	"YLL023C"	0.778947368421053	1.57281789325836e-06	0.00370327517465515	0.645008567920186	0.912886168921919
"205"	"YOR121C"	"YEL057C"	0.757894736842105	2.98314474722616e-06	0.00384588578782117	0.629844099758688	0.885945373925522
"1068"	"YLL023C"	"YMR316W"	0.757894736842105	2.98314474722616e-06	0.00384588578782117	0.604197962203156	0.911591511481055
"160"	"GCY1"	"YEL057C"	0.747368421052632	4.08346510671898e-06	0.00384588578782117	0.621970769279129	0.872766072826134
"830"	"YPL066W"	"MLF3"	0.747368421052632	4.08346510671898e-06	0.00384588578782117	0.60830930589371	0.886427536211553
"973"	"YPS1"	"YPS3"	0.747368421052632	4.08346510671898e-06	0.00384588578782117	0.604646015444291	0.890090826660972
"990"	"YPS1"	"YMR316W"	0.747368421052632	4.08346510671898e-06	0.00384588578782117	0.628304573728877	0.866432268376386
"154"	"GCY1"	"PCL10"	0.726315789473684	7.5589016310662e-06	0.00593259882532579	0.549982042829991	0.902649536117378
"1011"	"YPS3"	"YMR316W"	0.726315789473684	7.5589016310662e-06	0.00593259882532579	0.597311431208127	0.855320147739241
"954"	"BAG7"	"YLL023C"	0.71578947368421	1.02220316828827e-05	0.00687664683659592	0.557860117578734	0.873718829789687
"976"	"YPS1"	"YLL023C"	0.71578947368421	1.02220316828827e-05	0.00687664683659592	0.551453912628213	0.880125034740208
"308"	"YKR012C"	"YIL117C"	0.709004633263283	1.34828856748204e-05	0.00810415863684623	0.529728006194543	0.88079830959493
"2"	"GAL7"	"GAL1"	0.705263157894737	1.37676679292653e-05	0.00810415863684623	0.574361250368899	0.836165065420575
"58"	"GAL10"	"SSU1"	0.694736842105263	1.84684272102054e-05	0.0081376549308034	0.53592033716046	0.853553347050067
"350"	"PRY2"	"YIL117C"	0.694736842105263	1.84684272102054e-05	0.0081376549308034	0.551288007148127	0.8381856770624
"1031"	"YMR102C"	"YMR316W"	0.694736842105263	1.84684272102054e-05	0.0081376549308034	0.544264042708632	0.845209641501895
"1216"	"YMR316W"	"HCR1"	0.694736842105263	1.84684272102054e-05	0.0081376549308034	0.507576392211452	0.881897291999074
"828"	"YPL066W"	"SVS1"	0.69129528232359	2.11453928826710e-05	0.0081376549308034	0.514413910096717	0.864533458324336
"837"	"YPL066W"	"SLT2"	0.687840315852438	2.41925299933055e-05	0.0081376549308034	0.509215257529638	0.859205795101941
"1161"	"YJL108C"	"YGL179C"	0.684352540135173	2.76611530465320e-05	0.0081376549308034	0.535285063173401	0.822609673668705
"70"	"GAL10"	"YGL184C"	0.68421052631579	2.46744572944824e-05	0.0081376549308034	0.547270768654739	0.82115028397684
"527"	"MCM1"	"MET14"	0.68421052631579	2.46744572944824e-05	0.0081376549308034	0.51369667712235	0.85472437550923
"819"	"MET16"	"MES1"	0.68421052631579	2.46744572944824e-05	0.0081376549308034	0.55908756852339	0.809333484108189
"951"	"BAG7"	"YPS3"	0.68421052631579	2.46744572944824e-05	0.0081376549308034	0.55908756852339	0.809333484108189
"1163"	"YJL108C"	"KTR2"	0.677258157147016	3.22106050807403e-05	0.0081376549308034	0.502779837432855	0.844588583619776
"1175"	"SLT2"	"YPL088W"	0.677258157147016	3.22106050807403e-05	0.0081376549308034	0.505060015711095	0.842308405341537
"51"	"GAL10"	"GCY1"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.508930425638777	0.838437995413855
"515"	"YJL212C"	"KTR2"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.545992353623266	0.801376067429366
"895"	"YDL241W"	"YPL088W"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.530735966274253	0.816632454778378
"929"	"EPT1"	"YMR102C"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.5439871246058	0.803381296446832
"1012"	"YPS3"	"HCR1"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.507371452712327	0.839996968340304
"1065"	"YLL023C"	"KTR2"	0.673684210526316	3.28333603274444e-05	0.0081376549308034	0.505826958110404	0.841541462942228
"975"	"YPS1"	"SVS1"	0.670187029428213	3.74628916004482e-05	0.00900282193187057	0.524032082089658	0.8128100231735
"52"	"GAL10"	"YOR121C"	0.663157894736842	4.35146009207799e-05	0.00900282193187057	0.503087041143817	0.823228748329867
"925"	"YJL060W"	"MES1"	0.663157894736842	4.35146009207799e-05	0.00900282193187057	0.537394917639333	0.788920871834351
"950"	"BAG7"	"YPS1"	0.663157894736842	4.35146009207799e-05	0.00900282193187057	0.511361783833514	0.81495400564017
"1052"	"SVS1"	"SER3"	0.659632902980525	4.95643741171836e-05	0.00900282193187057	0.523791463756684	0.791998009927527
"280"	"YKR012C"	"PRY2"	0.656093839736172	5.6413162836666e-05	0.00900282193187057	0.500246314140888	0.805016843753849
"1"	"GAL7"	"GAL10"	0.652631578947369	5.74392306111893e-05	0.00900282193187057	0.504540527604523	0.800722630290214
"405"	"EXG1"	"MES1"	0.649078776532836	6.53117029201233e-05	0.00900282193187057	0.502632343258516	0.792104498846748
