"gene1"	"gene2"	"cor.list"	"p.list"	"adjp.list"	"lower"	"higher"
"145"	"GCY1"	"YOR121C"	0.98499337576985	3.5527136788005e-15	3.34601390936706e-11	0.969619813376755	0.992616477945038
"1069"	"YLL023C"	"HCR1"	0.956733394914817	4.31177316073672e-11	2.03045534684513e-07	0.913667991970868	0.978556995293163
"345"	"PRY2"	"SVS1"	0.952381943805974	1.00528918522969e-10	3.15600214448888e-07	0.905195175064115	0.976373907211539
"1047"	"SVS1"	"KTR2"	0.946614044083243	2.75408584826664e-10	5.99986301640767e-07	0.894021871036625	0.97347263018739
"954"	"BAG7"	"YLL023C"	0.945724533153629	3.18525206211007e-10	5.99986301640767e-07	0.892304555128468	0.973024432547304
"237"	"CRH1"	"PRY2"	0.939581498485826	8.17337530989448e-10	1.28297361519142e-06	0.88048669175903	0.969923507152687
"1212"	"YPL088W"	"HCR1"	0.93713459764855	1.15784581922185e-09	1.55783058339579e-06	0.875799752078306	0.968685593997828
"1008"	"YPS3"	"KTR2"	0.934812735681615	1.59103796804061e-09	1.84299429019523e-06	0.87136298878272	0.96750948716257
"357"	"PRY2"	"KTR2"	0.933676283425882	1.85100934579907e-09	1.84299429019523e-06	0.86919515860698	0.966933316857238
"260"	"CRH1"	"SVS1"	0.933253659708357	1.95684513037975e-09	1.84299429019523e-06	0.868389618007065	0.966718964082608
"996"	"YPS3"	"SVS1"	0.92923753637122	3.26190718880071e-09	2.58548028366501e-06	0.860751744445939	0.964679657765344
"830"	"YPL066W"	"MLF3"	0.929157614367054	3.29423777145621e-09	2.58548028366501e-06	0.860600060889112	0.964639031829267
"1192"	"ERO1"	"YPL088W"	0.926970483892102	4.29612612151686e-09	3.11244154763841e-06	0.856453832801711	0.963526615407013
"1"	"GAL7"	"GAL10"	0.925102994585769	5.35499111720128e-09	3.39550898361789e-06	0.852920747068218	0.962575773683341
"280"	"YKR012C"	"PRY2"	0.925018516183833	5.40789946157361e-09	3.39550898361789e-06	0.852761079335243	0.96253273925225
"1148"	"YJL107C"	"YJL108C"	0.92398878557276	6.0908678101157e-09	3.58531010646419e-06	0.850815930172493	0.962008028722613
"1046"	"SVS1"	"ERO1"	0.922716894300921	7.03861346984525e-09	3.89947130427851e-06	0.848416107408534	0.961359534647316
"1190"	"ERO1"	"KTR2"	0.917934842652925	1.18692204953419e-08	6.21036644431684e-06	0.839420511722946	0.958917485848864
"51"	"GAL10"	"GCY1"	0.91733028407942	1.26512134102086e-08	6.27113449013479e-06	0.838286321573015	0.95860832303231
"308"	"YKR012C"	"YIL117C"	0.915873626032362	1.47246292936387e-08	6.933969196671e-06	0.835556345852353	0.957863008428144
"997"	"YPS3"	"YLL023C"	0.912849779166276	2.00063960953401e-08	8.87755902812674e-06	0.829901878769114	0.956314017584717
"565"	"PCL10"	"YEL057C"	0.912488586441613	2.07371331217843e-08	8.87755902812674e-06	0.82922760088935	0.956128830280118
"350"	"PRY2"	"YIL117C"	0.910431884984095	2.53634748759168e-08	1.03860031706625e-05	0.825392745435253	0.955073672658104
"50"	"GAL10"	"GAL1"	0.90561112210337	3.99280652985112e-08	1.56687575026735e-05	0.816434764251548	0.952596014580079
"356"	"PRY2"	"ERO1"	0.901039476292614	6.00760927671473e-08	2.26323267443459e-05	0.807979163380705	0.950240620001713
"1067"	"YLL023C"	"YPL088W"	0.900227456413884	6.4464248827889e-08	2.33514101674441e-05	0.80648126997832	0.949821663495707
"104"	"GAL1"	"FKS1"	0.898909913139167	7.21849977569633e-08	2.51797095986697e-05	0.804053419810635	0.949141506589698
"343"	"PRY2"	"YPS3"	0.89773086914737	7.97712020883523e-08	2.68321602549378e-05	0.801883462423528	0.948532449572441
"1175"	"SLT2"	"YPL088W"	0.897004513292361	8.47856880259457e-08	2.75354440633997e-05	0.80054790697673	0.94815704982547
"272"	"CRH1"	"KTR2"	0.895011770559042	9.99926179634514e-08	3.13916553925334e-05	0.796888751052663	0.947126414594958
"950"	"BAG7"	"YPS1"	0.892362247423861	1.23893939329989e-07	3.76042268533776e-05	0.792034712474526	0.945754428790103
"52"	"GAL10"	"YOR121C"	0.891345253499773	1.34320384814757e-07	3.76042268533776e-05	0.790174899652804	0.94522729899392
"1012"	"YPS3"	"HCR1"	0.891121414066346	1.36715990306513e-07	3.76042268533776e-05	0.78976580657708	0.945111240458972
"527"	"MCM1"	"MET14"	0.890879031494439	1.39352265948745e-07	3.76042268533776e-05	0.789322925371062	0.944985552125625
"969"	"BAG7"	"HCR1"	0.890843241864253	1.39745288452175e-07	3.76042268533776e-05	0.789257539545955	0.944966991933507
"976"	"YPS1"	"YLL023C"	0.889445802474458	1.55872418305947e-07	4.07787873104925e-05	0.786706288916468	0.944242019506476
"1223"	"SER3"	"SER33"	0.88762988041245	1.79255591259420e-07	4.56287446657472e-05	0.783396265786738	0.943299149498783
"1194"	"ERO1"	"HCR1"	0.886054922666966	2.01972085944746e-07	5.00582067958208e-05	0.78053024706261	0.94248066585285
"1007"	"YPS3"	"ERO1"	0.885529641987386	2.10090514318750e-07	5.07351993427609e-05	0.779575356605129	0.942207534233248
"315"	"YKR012C"	"KTR2"	0.883319373916196	2.47473020520417e-07	5.802279354669e-05	0.77556277283136	0.941057429093886
"497"	"YJL212C"	"YJL060W"	0.883040041275496	2.52589304583495e-07	5.802279354669e-05	0.77505628338094	0.940911984260848
"236"	"CRH1"	"YKR012C"	0.882319021844918	2.66226623413246e-07	5.96993671612916e-05	0.773749562896963	0.940536460221176
"973"	"YPS1"	"YPS3"	0.88116802041472	2.89336039127619e-07	6.26898451209925e-05	0.771665488785276	0.939936696319036
"2"	"GAL7"	"GAL1"	0.880998926752998	2.92875025564854e-07	6.26898451209925e-05	0.771359515351145	0.93984855440222
"407"	"FKS1"	"YJL212C"	0.87966905795027	3.22056697754647e-07	6.74042616257029e-05	0.768954895550292	0.939155072491487
"1163"	"YJL108C"	"KTR2"	0.87857263258385	3.48001302663548e-07	7.12509356572862e-05	0.766974732844294	0.938582958544085
